eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/fisher_eps_step_0,train/fisher_eps_step_1,train/fisher_eps_step_2,train/fisher_eps_step_3,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,79872,0.03309065773137263,0.33447265625,0.34931641817092896,0.36674803495407104,0.3759765625,0.35662841796875,34.148224520683286,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,39,0.00027663934426229507,1000.0,-203.00678029914747,2,-0.040697611001087354,6.674238067865372,88.6598289012909
nan,nan,81920,0.02933906094840495,0.3233886659145355,0.31591796875,0.338623046875,0.34672850370407104,0.33116455078125,34.14654269218445,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,40,0.0002760245901639344,1000.0,-221.5783243094054,2,-0.038034730846993624,7.047192758321762,90.2839868068695
42.17602250362466,36.01469185084413,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,93.77114486694336
nan,nan,83968,0.02517733841086738,0.2874999940395355,0.2903808653354645,0.2999023497104645,0.33208006620407104,0.3024658203125,34.21461288928985,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,41,0.00027540983606557377,1000.0,-212.96395784384927,2,-0.04137189760658657,7.842145748436451,95.39119482040405
nan,nan,86016,0.02554934713480179,0.26972657442092896,0.2872558534145355,0.31147462129592896,0.3240722715854645,0.29813232421875,34.129169166088104,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,42,0.0002747950819672131,1000.0,-210.01357458131966,3,-0.040745054744184016,8.140913064777852,97.03162503242493
nan,nan,88064,0.02709500242053764,0.29741209745407104,0.30810546875,0.32368165254592896,0.32734376192092896,0.3141357421875,34.09508301019669,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,43,0.0002741803278688524,1000.0,-208.92816252530105,2,-0.03916614455229137,7.619841132313013,98.64715385437012
nan,nan,90112,0.035994327074149624,0.3451171815395355,0.35576170682907104,0.3812011778354645,0.39521485567092896,0.36932373046875,34.09241642951965,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,44,0.00027356557377049176,1000.0,-153.62029717982432,2,-0.039381094567943364,6.556404426693916,100.29100179672241
48.60986393775174,42.45344994206264,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,103.78060483932495
nan,nan,92160,0.026510150460671865,0.288330078125,0.3021484315395355,0.31523436307907104,0.34013670682907104,0.31146240234375,34.32669044733048,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,45,0.0002729508196721311,1000.0,-206.82489858666628,2,-0.04129842878610361,7.684308300167322,105.45233583450317
nan,nan,94208,0.024301181803457438,0.27192384004592896,0.28535157442092896,0.30268555879592896,0.32255858182907104,0.2956298828125,34.211768734455106,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,46,0.00027233606557377046,1000.0,-150.0225865818241,2,-0.042027218913426624,8.082035002112388,107.14887881278992
nan,nan,96256,0.02168958716283669,0.24643555283546448,0.2518554627895355,0.26738280057907104,0.2919921875,0.26441650390625,34.100940716266635,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,47,0.0002717213114754098,1000.0,-256.9108979291401,2,-0.04051447359088343,9.993634235858917,108.90262985229492
nan,nan,98304,0.028520952399412637,0.30195313692092896,0.3145507872104645,0.3335937559604645,0.35053712129592896,0.32515869140625,34.129466116428375,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,48,0.00027110655737704915,1000.0,-170.51395636328027,2,-0.04415185893885791,7.862055493891239,110.62697505950928
nan,nan,100352,0.02845256086657173,0.31884765625,0.3140625059604645,0.329345703125,0.35126954317092896,0.32838134765625,34.12652108669281,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,49,0.0002704918032786885,1000.0,-146.32658561286217,2,-0.04443046701198909,8.31964531391859,112.36866164207458
77.71024299219444,58.77432494545334,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,116.04312491416931
nan,nan,102400,0.019500444566074294,0.234130859375,0.24360351264476776,0.2566894590854645,0.27446287870407104,0.2522216796875,34.04748619794846,0.20000001788139343,0.20000001788139343,0.20000001788139343,0.20000001788139343,50,0.00026987704918032785,1000.0,-206.64553191450455,2,-0.04191175706437207,11.017650017142296,117.90394282341003
