eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/entropy,train/eps_step_0,train/eps_step_1,train/eps_step_2,train/eps_step_3,train/iteration,train/kl_budget_step_0,train/kl_budget_step_1,train/kl_budget_step_2,train/kl_budget_step_3,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,1409024,0.0027852082042954863,0.154510498046875,0.15487061440944672,0.15651856362819672,0.15440674126148224,0.15507659912109376,17.40665734410286,0.0869813784956932,0.08943496644496918,0.10340366512537003,0.11672358959913254,43,0.0037971101701259613,0.004012796562165022,0.005360250826925039,0.006829842925071716,0.0002741803278688524,1001.0,-241.56093335618988,32,-0.005215134256286546,3.271470585092902,1158.4200558662415
nan,nan,1441792,0.0025265275675337763,0.139068603515625,0.13713379204273224,0.13934937119483948,0.13878174126148224,0.1385833740234375,17.45942426919937,0.08795517683029175,0.09147677570581436,0.1023629680275917,0.11532417684793472,44,0.0038829201366752386,0.0041965702548623085,0.005253016483038664,0.006667493376880884,0.00027356557377049176,1001.0,-237.43617865329426,48,-0.005085855817014817,4.11124764084816,1181.4665989875793
nan,nan,1474560,0.002737245842217817,0.15208129584789276,0.152557373046875,0.15277099609375,0.15114136040210724,0.15213775634765625,17.4178868830204,0.08843791484832764,0.09081586450338364,0.10184889286756516,0.11594796180725098,45,0.003925332333892584,0.004136921837925911,0.005199748557060957,0.006737996824085712,0.0002729508196721311,1001.0,-235.6203825040243,32,-0.0049863216670928525,3.260775889456272,1204.0600175857544
nan,nan,1507328,0.0027085230166449038,0.14960327744483948,0.15019531548023224,0.14935302734375,0.15173950791358948,0.1502227783203125,17.42779797911644,0.08859419077634811,0.09099836647510529,0.10314041376113892,0.1145138293504715,46,0.003939247690141201,0.004153897520154715,0.005334111396223307,0.006572742946445942,0.00027233606557377046,1001.0,-251.27380921078492,32,-0.0049872483221406584,3.256357894465327,1227.3849139213562
nan,nan,1540096,0.002889739779766387,0.15877686440944672,0.15889893472194672,0.16025391221046448,0.16057129204273224,0.159625244140625,17.44092692732811,0.08666863292455673,0.09020167589187622,0.10245823115110397,0.11719834804534912,47,0.003770573530346155,0.004081932827830315,0.005262733902782202,0.00688475975766778,0.0002717213114754098,1001.0,-231.33208357098852,32,-0.00523821982278605,3.144465309008956,1250.271038532257
nan,nan,1572864,0.0025297613261500373,0.13972167670726776,0.13812866806983948,0.1387939453125,0.13825683295726776,0.13872528076171875,17.4274172604084,0.0872374027967453,0.0897102877497673,0.10226186364889145,0.11733074486255646,48,0.0038203969597816467,0.004035978578031063,0.005242703016847372,0.006900920998305082,0.00027110655737704915,1001.0,-240.24540777645706,32,-0.0049505314149428156,3.5779770109802485,1273.7712399959564
nan,nan,1605632,0.0024650535918226526,0.13349609076976776,0.13341064751148224,0.13509522378444672,0.13623046875,0.13455810546875,17.434370744228364,0.08564507216215134,0.08871259540319443,0.10318124294281006,0.11842825263738632,49,0.0036830399185419083,0.003949567209929228,0.0053375656716525555,0.007029826287180185,0.0002704918032786885,1001.0,-222.05835462362558,32,-0.005408580749644898,4.303948157653212,1297.2705433368683
nan,nan,1638400,0.002882889632292063,0.159515380859375,0.15928344428539276,0.16130371391773224,0.161346435546875,0.16036224365234375,17.43966008424759,0.08582238107919693,0.08945780247449875,0.10296125710010529,0.1179627776145935,50,0.003697731299325824,0.004014778416603804,0.005314202513545752,0.006973287556320429,0.00026987704918032785,1001.0,-231.1570707363415,32,-0.005138599755446194,3.327630342170596,8031.954712867737
nan,nan,1671168,0.002893508912984544,0.160919189453125,0.15853272378444672,0.159912109375,0.15860596299171448,0.15949249267578125,17.421111345291138,0.0881720781326294,0.0909397229552269,0.10254032909870148,0.11542203277349472,51,0.003904046956449747,0.004148964304476976,0.0052697258070111275,0.006677262485027313,0.00026926229508196715,1001.0,-219.84506930918502,32,-0.005070740894370829,3.3848481994122266,8064.62041592598
nan,nan,1703936,0.002777161572976183,0.15285034477710724,0.15283814072608948,0.1517333984375,0.15263061225414276,0.15251312255859376,17.404653841257094,0.08713530004024506,0.08914146572351456,0.10370872169733047,0.11653801053762436,52,0.003811534494161606,0.003986580763012171,0.005392143037170172,0.006809741258621216,0.00026864754098360655,1001.0,-208.031528370263,32,-0.005322776521643391,3.4698918614536525,8098.265741586685
nan,nan,1736704,0.0027454767784547583,0.15152588486671448,0.15081787109375,0.15245972573757172,0.15164795517921448,0.15161285400390626,17.455403596162796,0.08635246753692627,0.08970697224140167,0.1029742956161499,0.11732389777898788,53,0.0037443265318870544,0.004038493614643812,0.005317032337188721,0.0069001480005681515,0.0002680327868852459,1001.0,-216.4816806190231,32,-0.005286791673279367,3.657639440521598,8123.284281730652
nan,nan,1769472,0.0028775966871762647,0.15883789956569672,0.15723876655101776,0.15948486328125,0.15900269150733948,0.15864105224609376,17.423833933472633,0.08644676953554153,0.08878368139266968,0.10319208353757858,0.11780699342489243,54,0.003751296317204833,0.003954365849494934,0.0053376383148133755,0.006956698838621378,0.00026741803278688525,1001.0,-213.68756631146198,32,-0.005083000399463344,3.2905779357999565,8146.217262029648
