eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,126976,0.23421631523233372,0.42133790254592896,0.4732910096645355,0.447314453125,0.0035495066724251954,0.009294768198742531,10.0,17.50365945100784,62,0.0002625,1000.0,-106.42594607896592,2,-0.09518978296887326,7.750738082826137,114.64370894432068
nan,nan,129024,0.20647400786692743,0.38422852754592896,0.4593749940395355,0.4218017578125,0.0035214692841691432,0.009639034581778106,10.0,17.332459419965744,63,0.00026188524590163933,1000.0,-97.77382683632648,3,-0.10726532256085193,7.365624529868365,116.16887092590332
nan,nan,131072,0.13607172039337456,0.2989257872104645,0.37373048067092896,0.336328125,0.0033620262685872147,0.009117710805730895,10.0,17.281825149059294,64,0.0002612704918032787,1000.0,-266.44257397419665,2,-0.11464374452389166,12.101256389915942,117.73004913330078
57.072913901758874,37.4956489728197,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,119.8930549621582
nan,nan,133120,0.143196171503223,0.3131347596645355,0.3948730528354645,0.35400390625,0.0029662475229997654,0.007963557340553961,10.0,17.34872767329216,65,0.000260655737704918,1000.0,-148.30651680204085,2,-0.11670273075724254,12.983403353393077,121.33036017417908
nan,nan,135168,0.27553504786337724,0.4078613221645355,0.5064452886581421,0.4571533203125,0.0033955404425796585,0.008944955210608896,10.0,17.637924218177794,66,0.0002600409836065573,1000.0,-87.2224584199252,2,-0.10113331236789236,7.485553175210953,122.94407892227173
nan,nan,137216,0.232236793449556,0.4049316346645355,0.48823243379592896,0.44658203125,0.003934066119109047,0.010621791331504937,10.0,17.398363602161407,67,0.00025942622950819673,1000.0,-75.69193515618214,2,-0.1092107508375193,8.273302939534187,124.37496399879456
nan,nan,139264,0.1912231690104818,0.3870605528354645,0.44755858182907104,0.4173095703125,0.003920124155411031,0.010450175004370977,10.0,17.35795527100563,68,0.000258811475409836,1000.0,-102.60757776428655,2,-0.11480424512392347,10.926964782178402,125.98305797576904
nan,nan,141312,0.14155451861734036,0.3189941346645355,0.38671875,0.3528564453125,0.0036209703008353244,0.010981185633863789,10.0,17.281285607814787,69,0.00025819672131147537,1000.0,-74.29882481449087,2,-0.09979202673521285,11.457395449280739,127.44260096549988
76.84264050129002,59.060745914834996,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,129.54728507995605
nan,nan,143360,0.16398537844506791,0.3482910096645355,0.4227050840854645,0.385498046875,0.003417748657375341,0.009153347641404252,10.0,17.418445426225663,70,0.0002575819672131147,1000.0,-24.814293186465257,2,-0.11556308047620405,15.703607699275016,130.92201209068298
nan,nan,145408,0.22124653917126125,0.38007813692092896,0.4491210877895355,0.414599609375,0.0034936498013848905,0.009763515676604584,10.0,17.456338053941728,71,0.00025696721311475407,1000.0,-96.54715754611412,2,-0.09999908960735411,9.173687826097012,132.28907799720764
nan,nan,147456,0.2941672007073066,0.46757811307907104,0.530566394329071,0.499072265625,0.0038093081944680306,0.009790161738055757,10.0,17.557235461473464,72,0.0002563524590163934,1000.0,-91.67101846707254,2,-0.11184872213380004,8.606131713837385,133.67017912864685
nan,nan,149504,0.22561084938788553,0.4087890684604645,0.4662109315395355,0.4375,0.0038419583448558114,0.010217033405206166,10.0,17.447415149211885,73,0.00025573770491803277,1000.0,-115.17114450678501,2,-0.11849044237278576,10.036058342456817,135.14070296287537
nan,nan,151552,0.18605753789452137,0.35468751192092896,0.4368652403354645,0.3957763671875,0.003590849549800623,0.01039929804392159,10.0,17.31848002076149,74,0.0002551229508196721,1000.0,-101.50869452063554,2,-0.1029819290894011,13.468699525296689,136.76196002960205
102.19538318403846,53.55801525858678,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,138.97220420837402
nan,nan,153600,0.18810245611093707,0.3768066465854645,0.4488281309604645,0.4128173828125,0.003557125996303512,0.009533518727403134,10.0,17.293768286705017,75,0.00025450819672131146,1000.0,-108.97114069857702,2,-0.1159201973270683,10.355742035806179,140.54947113990784
nan,nan,155648,0.16206698522582882,0.334228515625,0.41303712129592896,0.3736328125,0.0033436195750255137,0.008818122654338368,10.0,17.339770829677583,76,0.0002538934426229508,1000.0,-41.71344218964938,2,-0.11519251091067417,15.595605123043061,142.0272970199585
nan,nan,157696,0.20080319540720665,0.3603515625,0.45166015625,0.406005859375,0.003365725309413392,0.00889261017437093,10.0,17.36948138475418,77,0.0002532786885245901,1000.0,-47.60279026894055,2,-0.10829100663213467,12.533267298340798,143.62749814987183
nan,nan,159744,0.4612600860229577,0.4991210997104645,0.573486328125,0.5363037109375,0.004366194066824392,0.011432703063474037,10.0,17.867476844787596,78,0.00025266393442622946,1000.0,-109.53314451890566,2,-0.08399911183250879,8.813734631240369,145.06782603263855
nan,nan,161792,0.25102836789592403,0.41669923067092896,0.5045410394668579,0.4606201171875,0.004116164668812416,0.010909196123247967,10.0,17.48046506047249,79,0.0002520491803278688,1000.0,-94.20250858357915,2,-0.11196007493535945,10.271374885737895,146.6588490009308
100.00554457254333,78.48201938328475,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,148.80441093444824
nan,nan,163840,0.2883737351221498,0.4339843690395355,0.5230468511581421,0.478515625,0.003976872992643621,0.010704695025924593,10.0,17.563004636764525,80,0.00025143442622950816,1000.0,-87.17936107949276,2,-0.10870604039155296,8.57396133840084,150.35991501808167
nan,nan,165888,0.22299217830441193,0.37846678495407104,0.464599609375,0.421533203125,0.003928492452541832,0.011011762653652113,10.0,17.427635735273363,81,0.00025081967213114756,1000.0,-61.51660650293038,2,-0.10804550845714403,12.466295951604843,151.7375361919403
nan,nan,167936,0.17991383152693743,0.36323243379592896,0.42973631620407104,0.396484375,0.0035075441337539814,0.009880606093793176,10.0,17.442883878946304,82,0.0002502049180327869,1000.0,-188.0095812066997,2,-0.1119028023851115,13.786319886147975,153.10992002487183
nan,nan,169984,0.27643946538737507,0.43452149629592896,0.512011706829071,0.4732666015625,0.003214984522492159,0.008511474562692457,10.0,17.56199116110802,83,0.0002495901639344262,1000.0,-4.1476955627612,2,-0.10787785139254993,11.508127777278423,154.4876561164856
nan,nan,172032,0.20158863954566186,0.39433592557907104,0.4629882872104645,0.428662109375,0.0033880565970321186,0.008856392097368371,10.0,17.522033631801605,84,0.00024897540983606555,1000.0,-152.2334213754016,3,-0.11619537815927287,11.57937513589859,155.86023092269897
96.41760974144891,43.19164565186925,172032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,158.00335001945496
nan,nan,174080,0.3358121956291143,0.46806639432907104,0.536572277545929,0.5023193359375,0.004051810017699609,0.010693224798887967,10.0,17.714098232984544,85,0.0002483606557377049,1000.0,-70.14971805860888,2,-0.1015444215732714,10.324148312211037,159.6307029724121
nan,nan,176128,0.2820130415348103,0.43671876192092896,0.5198730230331421,0.4782958984375,0.003971815186378081,0.010132851339585613,10.0,17.552134609222414,86,0.00024774590163934425,1000.0,-83.66843260697112,2,-0.10492413278043386,10.487665374577045,161.10073494911194
nan,nan,178176,0.41713729484617945,0.496337890625,0.574658215045929,0.535498046875,0.0041627453691035045,0.011026634625159204,10.0,17.795178920030594,87,0.0002471311475409836,1000.0,-61.47122425556427,2,-0.09211043165623778,7.9579103082418445,162.7301242351532
nan,nan,180224,0.16532015541015427,0.342041015625,0.42236328125,0.3822021484375,0.0039714588747301605,0.011387004368589259,10.0,17.2420814871788,88,0.00024651639344262295,1000.0,-85.15200077713783,2,-0.11394907332396542,13.039199459552766,164.17854714393616
124.67087424318117,77.72566716434504,180224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,166.34005618095398
nan,nan,182272,0.36103500279277795,0.4759277403354645,0.570507824420929,0.5232177734375,0.004001656842592638,0.010454125511751044,10.0,17.665125960111617,89,0.0002459016393442623,1000.0,-40.91629991133956,2,-0.10357482227482251,7.820957705378532,167.75585103034973
nan,nan,184320,0.27771918739599644,0.43525391817092896,0.509814441204071,0.4725341796875,0.004175459623365896,0.011277661084022839,10.0,17.602353739738465,90,0.00024528688524590164,1000.0,-140.65171996484492,2,-0.10505076045647002,9.1190631583333,169.26517987251282
nan,nan,186368,0.3167457298768568,0.46479493379592896,0.5474609136581421,0.5061279296875,0.004451151462126291,0.011370026363874786,10.0,17.6201089322567,91,0.00024467213114754094,1000.0,-78.37088538379254,2,-0.10948755047484156,7.886304766684771,170.70783400535583
nan,nan,188416,0.17977611716196407,0.36625975370407104,0.4400878846645355,0.403173828125,0.0036113050118729006,0.009892892924835906,10.0,17.43736988902092,92,0.00024405737704918031,1000.0,-22.837425820853042,2,-0.1109104769257101,11.618262867629529,172.20200896263123
nan,nan,190464,0.2667926075082505,0.4378906190395355,0.49946290254592896,0.4686767578125,0.003701419772551162,0.009618845683871769,10.0,17.572003144025803,93,0.00024344262295081966,1000.0,-82.88547438915657,2,-0.11264156706347421,9.83618458211422,173.68403792381287
60.24026946733917,72.54104746597234,190464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,175.83276391029358
nan,nan,192512,0.21752204051881563,0.38676756620407104,0.46044921875,0.4236083984375,0.0035699992506124543,0.009343052507028915,10.0,17.47358121871948,94,0.000242827868852459,1000.0,-40.39713909583536,2,-0.11204072635518969,10.872100496292115,177.34844493865967
