eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_fraction,train/entropy,train/eta_loss,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,train/vmpo_eta_step_0,train/vmpo_eta_step_1,train/vmpo_eta_step_2,train/vmpo_eta_step_3,wall_time
nan,nan,1572864,0.0,0.0,17.42768697142601,0.8193445772863924,48,0.00027110655737704915,1001.0,-224.05003669150892,32,4.330476749688387,3.5415510132908823,6.232378959655762,6.232378959655762,6.232378959655762,6.232378959655762,8149.624140262604
nan,nan,1605632,0.0,0.0,17.43081251680851,0.8309174725785852,49,0.0002704918032786885,1001.0,-219.15169130058462,32,4.333769525587559,2.798254025541246,7.623650074005127,7.623650074005127,7.623650074005127,7.623650074005127,8175.648950338364
nan,nan,1638400,0.0,0.0,17.43165349960327,0.8176496982108802,50,0.00026987704918032785,1001.0,-226.443761502339,32,4.339470648765564,2.9004965905100106,7.6316447257995605,7.6316447257995605,7.6316447257995605,7.6316447257995605,8202.871462583542
nan,nan,1671168,0.0,0.0,17.413399195671083,0.7993797799572349,51,0.00026926229508196715,1001.0,-214.00932398186802,32,4.3259297527372835,2.6888210128992798,8.139290809631348,8.139290809631348,8.139290809631348,8.139290809631348,8232.440115690231
nan,nan,1703936,0.0,0.0,17.39381168782711,0.7932237848639488,52,0.00026864754098360655,1001.0,-223.77419300338042,32,4.327894962579012,2.68877675794065,8.06501579284668,8.06501579284668,8.06501579284668,8.06501579284668,8259.584111690521
nan,nan,1736704,0.0,0.0,17.44625156521797,0.7827353483065963,53,0.0002680327868852459,1001.0,-230.19763285591876,32,4.344760730117559,3.3447830554097893,7.5232696533203125,7.5232696533203125,7.5232696533203125,7.5232696533203125,8285.69682097435
nan,nan,1769472,0.0,0.0,17.41748398542404,0.7935769732110203,54,0.00026741803278688525,1001.0,-221.65069433056595,32,4.333121144026518,3.2723690131679177,7.282546520233154,7.282546520233154,7.282546520233154,7.282546520233154,8311.46518278122
nan,nan,1802240,0.0,0.0,17.430120888352395,0.7951331343501806,55,0.0002668032786885246,1001.0,-218.73332199946728,32,4.335716477036476,2.961044578254223,7.201728820800781,7.201728820800781,7.201728820800781,7.201728820800781,8337.479907989502
nan,nan,1835008,0.0,0.0,17.42749289274216,0.7903781794942916,56,0.0002661885245901639,1001.0,-215.9893031075967,32,4.337444826960564,2.7938206255435944,7.650390148162842,7.650390148162842,7.650390148162842,7.650390148162842,8363.656475067139
nan,nan,1867776,0.0,0.0,17.433659529685976,0.7882960981689393,57,0.00026557377049180324,1001.0,-218.5252952781684,32,4.338396914303303,3.052015749178827,7.710047245025635,7.710047245025635,7.710047245025635,7.710047245025635,8390.11495089531
nan,nan,1900544,0.0,0.0,17.41399386525154,0.7813688163645566,58,0.0002649590163934426,1001.0,-211.97064893530484,32,4.331780502945184,3.3986508421599866,7.8218231201171875,7.8218231201171875,7.8218231201171875,7.8218231201171875,8417.157266378403
-183.09362723359183,15.484548466922737,1900544,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,8460.603830099106
nan,nan,1933312,0.0,0.0,17.453285720944404,0.795212295698002,59,0.00026434426229508194,1001.0,-211.44791053420658,32,4.339351110160351,2.8536307357251642,7.54650354385376,7.54650354385376,7.54650354385376,7.54650354385376,8486.163368701935
nan,nan,1966080,0.0,0.0,17.441969898343086,0.806506460160017,60,0.0002637295081967213,1001.0,-213.02901022762015,32,4.334959998726845,2.745167429558933,7.4874348640441895,7.4874348640441895,7.4874348640441895,7.4874348640441895,8512.147690296173
nan,nan,1998848,0.0,0.0,17.395200887322424,0.7945407065097243,61,0.00026311475409836063,1001.0,-213.2609280512014,32,4.324909810721874,2.851877675950527,7.967076301574707,7.967076301574707,7.967076301574707,7.967076301574707,8537.930053949356
nan,nan,2031616,0.0,0.0,17.450679594278334,0.7849372429773211,62,0.0002625,1001.0,-199.1966382055342,32,4.3450623229146,3.0625288477167487,6.963338375091553,6.963338375091553,6.963338375091553,6.963338375091553,8563.951439380646
