eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_10,train/clip_frac_step_11,train/clip_frac_step_12,train/clip_frac_step_13,train/clip_frac_step_14,train/clip_frac_step_15,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_frac_step_8,train/clip_frac_step_9,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,61440,2.9382810093020453,0.5628906488418579,0.564501941204071,0.557812511920929,0.5569823980331421,0.554638683795929,0.5704590082168579,0.566943347454071,0.5694335699081421,0.555859386920929,0.548876941204071,0.542041003704071,0.552294909954071,0.5394042730331421,0.549121081829071,0.558544933795929,0.5517578125,0.55634765625,194.3874104499817,30,0.00028217213114754093,1000.0,-84.23480585409189,2,-0.03320663581253029,20.045550978183748,184.94713401794434
-147.06600175769833,54.08268837754982,61440,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,196.4093780517578
nan,nan,63488,8.176037928756704,0.749462902545929,0.753222644329071,0.7527831792831421,0.7540038824081421,0.7547851800918579,0.7564452886581421,0.757617175579071,0.755664050579071,0.7596191167831421,0.751904308795929,0.7523437738418579,0.7522948980331421,0.753173828125,0.7566894292831421,0.7548828125,0.750927746295929,0.75411376953125,424.2756624698639,31,0.0002815573770491803,1000.0,-634.2598179688566,2,0.0075827882828889415,19.4108260050416,200.87430620193481
nan,nan,65536,4.387912519066594,0.519824206829071,0.514843761920929,0.5140625238418579,0.520263671875,0.5289551019668579,0.534375011920929,0.53369140625,0.5348144769668579,0.519287109375,0.506298840045929,0.5047363042831421,0.510791003704071,0.5143066644668579,0.515332043170929,0.5101562738418579,0.5072265863418579,0.518060302734375,249.67081503868104,32,0.0002809426229508196,1000.0,-325.82463053453296,2,-0.05996377728006337,20.03286055922508,205.39137411117554
nan,nan,67584,0.034729821600194555,0.08945312350988388,0.09633789211511612,0.08774413913488388,0.08808593451976776,0.09389648586511612,0.09975586086511612,0.09819336235523224,0.09755859524011612,0.09428711235523224,0.08925781399011612,0.09062500298023224,0.08208008110523224,0.08061523735523224,0.09077148139476776,0.08735351264476776,0.09150390326976776,0.091094970703125,136.86692008972167,33,0.00028032786885245903,1000.0,-80.84068532612807,2,-0.004655471752630547,24.859709852933882,209.9835662841797
nan,nan,69632,3.4510896123727433,0.5154784917831421,0.542529284954071,0.5528808832168579,0.5530761480331421,0.560351550579071,0.5577148199081421,0.5586913824081421,0.5570312738418579,0.55224609375,0.549365222454071,0.5536133050918579,0.547802746295929,0.548876941204071,0.551464855670929,0.558886706829071,0.553759753704071,0.550860595703125,209.45289554595948,34,0.0002797131147540983,1000.0,-329.70334808393375,2,-0.02524418331013294,25.23523505926132,214.63546800613403
nan,nan,71680,4.170947017523576,0.548388659954071,0.543017566204071,0.5381835699081421,0.542675793170929,0.5487304925918579,0.5465332269668579,0.5580078363418579,0.5599120855331421,0.538378894329071,0.535937488079071,0.5347656011581421,0.537890613079071,0.5470215082168579,0.5398925542831421,0.543408215045929,0.539990246295929,0.5439208984375,252.55205454826356,35,0.00027909836065573767,1000.0,-491.45027023912195,2,-0.022445684269769117,25.497435787320136,219.18165707588196
-432.0136028155427,232.0214341454038,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,231.2893831729889
nan,nan,73728,2.338267552145953,0.283203125,0.29638671875,0.3185058534145355,0.32563477754592896,0.32958984375,0.3285156190395355,0.334228515625,0.33417969942092896,0.3031249940395355,0.30449217557907104,0.3074707090854645,0.31108397245407104,0.314453125,0.31254881620407104,0.3189941346645355,0.3180175721645355,0.31502685546875,281.7952989578247,36,0.000278483606557377,1000.0,-228.32736291367172,2,0.02138563675689511,36.772602307796475,236.30185914039612
nan,nan,75776,4.634275291612721,0.5201171636581421,0.525439441204071,0.542675793170929,0.547167956829071,0.547167956829071,0.559374988079071,0.5647948980331421,0.5672851800918579,0.5228027105331421,0.5249999761581421,0.5296386480331421,0.52294921875,0.5240234136581421,0.536865234375,0.5379883050918579,0.5406249761581421,0.5383697509765625,386.42725653648375,37,0.00027786885245901637,1000.0,-255.6091323446396,2,0.04782648456457537,33.01634335517883,241.4052963256836
nan,nan,77824,1.7340136733240796,0.3775878846645355,0.3980468809604645,0.4185546934604645,0.4236816465854645,0.42255860567092896,0.42680662870407104,0.42231446504592896,0.42753905057907104,0.39824217557907104,0.40278321504592896,0.4012207090854645,0.40478515625,0.4049316346645355,0.4100585877895355,0.4072265625,0.4137206971645355,0.410003662109375,193.70998845100402,38,0.0002772540983606557,1000.0,79.50253779755198,2,0.01914786418201402,24.209039050340653,246.7308533191681
nan,nan,79872,5.691105854397756,0.6360839605331421,0.640380859375,0.669482409954071,0.673291027545929,0.674267590045929,0.671142578125,0.6661132574081421,0.6680663824081421,0.6590331792831421,0.6590331792831421,0.6646484136581421,0.6656249761581421,0.6639648675918579,0.672167956829071,0.66943359375,0.6731933355331421,0.6641204833984375,415.0981349468231,39,0.00027663934426229507,1000.0,387.2810590666114,2,0.05464587335736724,26.588512361049652,252.13995718955994
nan,nan,81920,7.336009878315963,0.73681640625,0.7369140386581421,0.75537109375,0.7630859613418579,0.765185534954071,0.770703136920929,0.7774413824081421,0.7772461175918579,0.74609375,0.749316394329071,0.7422851324081421,0.7442871332168579,0.7455078363418579,0.749560534954071,0.760009765625,0.7516113519668579,0.7544647216796875,723.7130383491516,40,0.0002760245901639344,1000.0,455.5418815647897,2,0.05918256916920654,27.431994339823724,257.8763711452484
747.5864846954753,90.92156219946351,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,271.54651713371277
nan,nan,83968,4.336295867752051,0.629443347454071,0.617919921875,0.6434570550918579,0.641064465045929,0.6473144292831421,0.6484375,0.647167980670929,0.652148425579071,0.604199230670929,0.607373058795929,0.6100097894668579,0.625537097454071,0.621533215045929,0.627197265625,0.6318359375,0.641552746295929,0.631011962890625,332.3764719963074,41,0.00027540983606557377,1000.0,486.87088300617074,2,0.046332489990163594,35.57253482341766,276.8623843193054
