eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,71680,0.1325475266086869,0.32124024629592896,0.33544921875,0.3283447265625,17.284499245882035,35,0.00027909836065573767,1000.0,-275.3617595763374,2,-0.07018508136388846,17.07102533429861,62.69815278053284
-187.77207331578535,54.77976022829332,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,65.5672538280487
nan,nan,73728,0.13898347844660747,0.322265625,0.3548339903354645,0.3385498046875,17.220546209812163,36,0.000278483606557377,1000.0,-317.6107044412722,2,-0.0819959818967618,16.40856336057186,67.7453076839447
nan,nan,75776,0.12459408404974966,0.31689453125,0.33349609375,0.3251953125,17.22964498400688,37,0.00027786885245901637,1000.0,-343.56310821359557,2,-0.08225112414220348,21.329464942216873,70.07099103927612
nan,nan,77824,0.27730441264866384,0.4796386659145355,0.4781250059604645,0.4788818359375,17.524214023351668,38,0.0002772540983606557,1000.0,-342.48129031559324,2,-0.07517318724421784,9.998511955142021,71.39887189865112
nan,nan,79872,0.35695490059006263,0.5226074457168579,0.549267590045929,0.5359375,17.721257132291793,39,0.00027663934426229507,1000.0,-218.786411895808,2,-0.06611801288672722,7.327616073191166,72.8038079738617
nan,nan,81920,0.08851927812356734,0.244384765625,0.2718261778354645,0.25810546875,17.22918019294739,40,0.0002760245901639344,1000.0,-221.54069031257094,2,-0.07385085916903336,22.101141560077668,74.2436637878418
-122.54129830628501,74.94259898831784,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,76.6421947479248
nan,nan,83968,0.12579767177376197,0.31757813692092896,0.32329100370407104,0.3204345703125,17.234460932016372,41,0.00027540983606557377,1000.0,-266.213858835569,2,-0.08258280238660518,12.258507466316223,77.87742471694946
nan,nan,86016,0.07244801137421746,0.22026367485523224,0.23740234971046448,0.2288330078125,17.193240261077882,42,0.0002747950819672131,1000.0,-256.23638765270357,3,-0.07702542783226818,29.853647619485855,79.18133783340454
nan,nan,88064,0.12554684921924492,0.3116210997104645,0.323486328125,0.3175537109375,17.238582450151444,43,0.0002741803278688524,1000.0,-221.6785273358073,2,-0.08414945156255271,13.659545943140984,80.84906578063965
nan,nan,90112,0.20467075965716502,0.4205566346645355,0.4488281309604645,0.4346923828125,17.458800983428954,44,0.00027356557377049176,1000.0,-186.68159397854498,2,-0.07561640647036257,12.323573087155818,82.53089189529419
-127.480705512004,86.71233413935587,90112,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,84.85691785812378
nan,nan,92160,0.29134641867130995,0.4779296815395355,0.5029296875,0.4904296875,17.650831311941147,45,0.0002729508196721311,1000.0,-189.72466905122536,2,-0.06863547634275165,9.09347481355071,86.51182985305786
nan,nan,94208,0.1174318734992994,0.3069824278354645,0.31494140625,0.3109619140625,17.229424393177034,46,0.00027233606557377046,1000.0,-249.08602796408968,2,-0.08434133061382454,17.968104711174966,87.91900181770325
nan,nan,96256,0.34602551108255286,0.5048828125,0.5355468988418579,0.52021484375,17.651477843523026,47,0.0002717213114754098,1000.0,-105.51906085810607,2,-0.07286731497879373,8.527466520667076,89.25127983093262
nan,nan,98304,0.1397308873347356,0.32807618379592896,0.34833985567092896,0.3382080078125,17.30293590426445,48,0.00027110655737704915,1000.0,-172.44132930503275,2,-0.08087605147156865,12.579284356534481,90.95012879371643
nan,nan,100352,0.19957861797010992,0.3937011659145355,0.413330078125,0.403515625,17.41904347538948,49,0.0002704918032786885,1000.0,-69.00497901238346,2,-0.08455304429226089,10.222282972931861,92.30086874961853
-19.62870500150857,73.25325319873693,100352,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,94.50092697143555
nan,nan,102400,0.33451574421924307,0.4947265684604645,0.5335937738418579,0.51416015625,17.694585180282594,50,0.00026987704918032785,1000.0,-87.77115781377182,2,-0.06755798623489681,6.106350427120924,95.97242593765259
nan,nan,104448,0.08642594259581529,0.24375000596046448,0.27006834745407104,0.2569091796875,17.215954047441482,51,0.00026926229508196715,1000.0,-199.47580288817238,2,-0.07817142595595214,19.56578362286091,97.58709383010864
nan,nan,106496,0.122641284801648,0.3133789002895355,0.32099610567092896,0.3171875,17.342515271902084,52,0.00026864754098360655,1000.0,-22.797105456220468,2,-0.09093519759189803,13.132395090162754,98.82309770584106
nan,nan,108544,0.12328560474416009,0.31098634004592896,0.3524414002895355,0.3317138671875,17.26786780357361,53,0.0002680327868852459,1000.0,-209.18007363897163,2,-0.0932987479653093,13.523257659375668,100.00135970115662
nan,nan,110592,0.1799734656160581,0.378173828125,0.40605467557907104,0.3921142578125,17.31500158905983,54,0.00026741803278688525,1000.0,-131.13869296244792,2,-0.08808255032636225,11.581659194827079,102.00683999061584
9.755984433485454,65.76191115344429,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,104.5605218410492
nan,nan,112640,0.12334402729466092,0.301025390625,0.31733399629592896,0.3091796875,17.277001881599425,55,0.0002668032786885246,1000.0,-187.59281646513494,2,-0.08979552616947331,22.194765347242356,106.11414694786072
nan,nan,114688,0.15779604756680782,0.354248046875,0.3890136778354645,0.371630859375,17.294453752040862,56,0.0002661885245901639,1000.0,-149.89542144235696,2,-0.089588245745108,13.363164076209069,107.84079885482788
nan,nan,116736,0.4088148087408626,0.521191418170929,0.541015625,0.531103515625,17.80485473871231,57,0.00026557377049180324,1000.0,-68.21567359100703,2,-0.05589144237455912,8.165136910229922,109.1177327632904
nan,nan,118784,0.46095972930197604,0.5369628667831421,0.58154296875,0.5592529296875,17.854010689258576,58,0.0002649590163934426,1000.0,-22.51889462017398,2,-0.06918302674748703,8.193283723294735,110.31381702423096
nan,nan,120832,0.22720900951098882,0.390380859375,0.42924803495407104,0.409814453125,17.49823163151741,59,0.00026434426229508194,1000.0,-90.82447891995244,2,-0.08145493264310062,9.750652416050434,112.03162789344788
76.62288143948714,70.29123784116828,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,114.21726369857788
nan,nan,122880,0.17943283573840746,0.3663085997104645,0.40913087129592896,0.3877197265625,17.39798441529274,60,0.0002637295081967213,1000.0,-58.527317051276114,2,-0.09393881410651375,10.776209001243114,115.63483095169067
nan,nan,124928,0.528000348637579,0.5713866949081421,0.5984863042831421,0.5849365234375,17.97934647798538,61,0.00026311475409836063,1000.0,-88.17825728572262,2,-0.06001950526260771,6.571366667002439,117.55647206306458
nan,nan,126976,0.24224578942521474,0.39653319120407104,0.46806639432907104,0.4322998046875,17.526442432403563,62,0.0002625,1000.0,-33.190955745155236,2,-0.08075099496345502,7.530282262712717,118.90940380096436
nan,nan,129024,0.2760471550587681,0.4651855528354645,0.49589842557907104,0.4805419921875,17.55226108431816,63,0.00026188524590163933,1000.0,-108.00547179533338,3,-0.08750383203150705,6.889980892837047,120.18432569503784
nan,nan,131072,0.2808603739453247,0.4456543028354645,0.49067384004592896,0.4681640625,17.521693855524063,64,0.0002612704918032787,1000.0,-105.03019116013289,2,-0.08871744321659207,6.879166500270367,121.42468500137329
32.4773061747048,128.0691218741548,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,123.7804708480835
nan,nan,133120,0.09781663139874582,0.25556641817092896,0.28300780057907104,0.269287109375,17.123790311813355,65,0.000260655737704918,1000.0,-109.07895258130492,2,-0.0874541791563388,15.223998901247977,125.12452292442322
nan,nan,135168,0.17131634123506956,0.34033203125,0.39155274629592896,0.3659423828125,17.28103991150856,66,0.0002600409836065573,1000.0,-35.16831559509651,2,-0.0942946668685181,10.651305556297302,127.22159385681152
nan,nan,137216,0.32342638767004245,0.4405761659145355,0.5003417730331421,0.470458984375,17.569619899988176,67,0.00025942622950819673,1000.0,-39.035854986619185,2,-0.0855814138049027,8.050121949613095,128.54137182235718
nan,nan,139264,0.17263367498089793,0.3583007752895355,0.3931640684604645,0.375732421875,17.292428719997407,68,0.000258811475409836,1000.0,-90.53767607872211,2,-0.09467019462172174,11.885218304395675,130.38927102088928
nan,nan,141312,0.1349529999832157,0.3023437559604645,0.3475097715854645,0.3249267578125,17.223141795396806,69,0.00025819672131147537,1000.0,-88.58787064843247,2,-0.08713133099954576,13.546852636337281,132.13234686851501
128.07170303999564,73.78317108234627,141312,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,134.70218896865845
nan,nan,143360,0.15207700548198771,0.33056640625,0.36713868379592896,0.3488525390625,17.22631182074547,70,0.0002575819672131147,1000.0,-11.186156146270891,2,-0.08938142468687146,14.448615358769894,136.86376190185547
nan,nan,145408,0.3130676305954694,0.46528321504592896,0.49560546875,0.4804443359375,17.55429587960243,71,0.00025696721311475407,1000.0,23.806963638338317,2,-0.08288074456795584,8.312800915539265,138.23017382621765
nan,nan,147456,0.13544875757506816,0.2962402403354645,0.3428710997104645,0.3195556640625,17.182796913385392,72,0.0002563524590163934,1000.0,-101.25518779356037,2,-0.08563313434715383,18.34870516657829,139.92251682281494
nan,nan,149504,0.2395040412506205,0.39892578125,0.43901365995407104,0.4189697265625,17.386839896440506,73,0.00025573770491803277,1000.0,78.07730828062421,2,-0.08863306261773687,10.009678892791271,141.19108390808105
nan,nan,151552,0.3140659584692912,0.44633787870407104,0.489501953125,0.467919921875,17.602915173769,74,0.0002551229508196721,1000.0,20.591056201830504,2,-0.07876497428514995,11.35556892901659,142.43918991088867
6.615699707307769,204.80023147163476,151552,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,145.07899594306946
nan,nan,153600,0.4063599903965951,0.523876965045929,0.565673828125,0.544775390625,17.865749245882036,75,0.00025450819672131146,1000.0,99.86482585216604,2,-0.0760518966417294,9.943218483030796,146.5502347946167
nan,nan,155648,0.3496875180513598,0.47119140625,0.5006347894668579,0.4859130859375,17.696552324295045,76,0.0002538934426229508,1000.0,-48.610531959650274,2,-0.08045102154428604,10.850879807770252,148.07322001457214
nan,nan,157696,0.15923283362644725,0.3232421875,0.37651365995407104,0.3498779296875,17.238439273834228,77,0.0002532786885245901,1000.0,3.8722639007287114,2,-0.09087170107814017,18.259341609477996,149.4414439201355
nan,nan,159744,0.23838941110443557,0.40673828125,0.44941407442092896,0.428076171875,17.36379069685936,78,0.00025266393442622946,1000.0,-170.70432379157444,2,-0.09259477826417424,11.918069170415402,151.19973707199097
nan,nan,161792,0.3610173264780315,0.4620605409145355,0.5313476324081421,0.4967041015625,17.736222875118255,79,0.0002520491803278688,1000.0,-10.251677231552215,2,-0.08072903781430796,10.498553308844567,152.5462667942047
194.17337696946856,58.407411506089055,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,155.0409128665924
nan,nan,163840,0.40212259276013357,0.5159667730331421,0.562744140625,0.53935546875,17.77181407213211,80,0.00025143442622950816,1000.0,24.7529627479718,2,-0.06939095980778802,9.596346731483937,156.31911706924438
nan,nan,165888,0.23864413633855291,0.40034180879592896,0.43798828125,0.4191650390625,17.45884417295456,81,0.00025081967213114756,1000.0,66.84425707897745,2,-0.08717006814549677,16.159160505235196,158.00103092193604
nan,nan,167936,0.19935109734069556,0.37773436307907104,0.4066406190395355,0.3921875,17.416099268198014,82,0.0002502049180327869,1000.0,-23.113706963700785,2,-0.09221541672595776,14.148747940361499,159.24020075798035
nan,nan,169984,0.5032217030748143,0.561572253704071,0.599316418170929,0.5804443359375,18.002630668878556,83,0.0002495901639344262,1000.0,-84.73749088530552,2,-0.0643397189094685,7.902015119791031,160.52453875541687
nan,nan,172032,0.4870776242532884,0.5557616949081421,0.5943359136581421,0.575048828125,17.989703631401063,84,0.00024897540983606555,1000.0,13.628930677033964,3,-0.07309797580528539,7.278615682572126,162.636296749115
160.85907762196203,55.40622904053527,172032,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,167.13671684265137
nan,nan,174080,0.19717777537880465,0.3766113221645355,0.43403321504592896,0.405322265625,17.381124866008758,85,0.0002483606557377049,1000.0,-64.45106118815688,2,-0.0832952343771467,13.80139286071062,171.02631282806396
nan,nan,176128,0.38346570284629705,0.48295897245407104,0.5604003667831421,0.5216796875,17.840383237600328,86,0.00024774590163934425,1000.0,75.34349464874728,2,-0.08454986188153271,10.305493032932281,173.49526596069336
nan,nan,178176,0.3928698969175457,0.4720703065395355,0.5353027582168579,0.5036865234375,17.77583055496216,87,0.0002471311475409836,1000.0,56.823804332618835,2,-0.08434024653106462,9.616037067770957,174.77222084999084
nan,nan,180224,0.309105605489458,0.4400878846645355,0.510693371295929,0.475390625,17.471203446388245,88,0.00024651639344262295,1000.0,-21.13141014181426,2,-0.08326285120565444,9.389981907606124,176.53534197807312
114.59092367250139,99.0524441306944,180224,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.85430693626404
nan,nan,182272,0.19576705865183613,0.34443360567092896,0.41728514432907104,0.380859375,17.400774282217025,89,0.0002459016393442623,1000.0,-69.46381336185001,2,-0.0922676763148047,14.571064168214798,182.66843700408936
nan,nan,184320,0.3167186889055301,0.46044921875,0.5420898199081421,0.50126953125,17.678855353593825,90,0.00024528688524590164,1000.0,-57.46939596566308,2,-0.08845693798793945,8.783442588150502,184.74659490585327
nan,nan,186368,0.38779223058663775,0.505810558795929,0.56298828125,0.5343994140625,17.800063568353654,91,0.00024467213114754094,1000.0,6.024705635596455,2,-0.08276888433319982,8.458170132339001,186.50079369544983
nan,nan,188416,0.25998798102373255,0.41630858182907104,0.48676759004592896,0.4515380859375,17.531643652915953,92,0.00024405737704918031,1000.0,7.064401020521164,2,-0.09500011919299141,9.972134818136691,188.25697088241577
nan,nan,190464,0.22111260408128147,0.3778320252895355,0.4649902284145355,0.4214111328125,17.447285586595534,93,0.00024344262295081966,1000.0,-75.9067980590025,2,-0.09159835395403207,12.743488319218159,190.18638586997986
167.24013299507487,118.24166830353391,190464,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,193.12559366226196
nan,nan,192512,0.2984104068833403,0.4341796934604645,0.5179687738418579,0.47607421875,17.541087025403975,94,0.000242827868852459,1000.0,14.810857445892388,2,-0.08714941854123026,11.852038936316967,195.35694694519043
nan,nan,194560,0.2954526771674864,0.44384765625,0.526904284954071,0.4853759765625,17.613337594270707,95,0.00024221311475409833,1000.0,37.80355760752587,2,-0.08748309977236204,11.485339191555976,197.74611687660217
nan,nan,196608,0.22878176864032868,0.394287109375,0.44316405057907104,0.4187255859375,17.3836301445961,96,0.00024159836065573768,1000.0,-52.72025405447233,2,-0.09149309394560987,14.013191069662572,199.3384439945221
nan,nan,198656,0.1984202304156497,0.355224609375,0.42241209745407104,0.388818359375,17.367680543661116,97,0.00024098360655737703,1000.0,61.43531606869855,2,-0.08892752144311089,21.020322182774542,200.7065646648407
nan,nan,200704,0.5230275509413331,0.523681640625,0.5975097417831421,0.560595703125,18.070349550247194,98,0.00024036885245901638,1000.0,-7.426784367987054,2,-0.07066015590680763,11.49562489539385,202.6239469051361
188.4112749285088,48.46470858807796,200704,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,204.83212900161743
