eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,71680,0.0785335447806574,0.3809570372104645,0.329833984375,0.27490234375,0.22114257514476776,0.18964843451976776,0.17104491591453552,0.16015625,0.17182616889476776,0.23743896484375,0.025369243428576736,0.3135286348871887,10.0,68.64392702579498,35,0.00027909836065573767,1000.0,-304.70103963801836,2,-0.031136896944371984,15.616814169287682,150.20238208770752
-43.485268375303015,240.0905476801978,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,156.36491584777832
nan,nan,73728,0.06359650114281976,0.31098634004592896,0.2734375,0.22915038466453552,0.18842773139476776,0.16474609076976776,0.15908202528953552,0.14516600966453552,0.14902344346046448,0.20250244140625,0.023919654067140073,0.2966933486517519,10.0,68.77192394733429,36,0.000278483606557377,1000.0,-298.4703927689068,2,-0.03376504328916781,18.74316411167383,159.8275601863861
nan,nan,75776,0.046567358669199165,0.23984375596046448,0.19956055283546448,0.16357421875,0.14028319716453552,0.12978515028953552,0.12236328423023224,0.11845703423023224,0.11738280951976776,0.15390625,0.022414977889275177,0.2504681606777012,10.0,68.48950991630554,37,0.00027786885245901637,1000.0,-229.74167673055717,2,-0.03526457746484084,25.119500109553336,163.30720710754395
nan,nan,77824,0.07932153600231687,0.37841796875,0.3359375,0.31123048067092896,0.25532227754592896,0.20244140923023224,0.16367188096046448,0.15708008408546448,0.16152343153953552,0.245703125,0.028245462279301137,0.37421685135923327,10.0,68.97874839305878,38,0.0002772540983606557,1000.0,-273.88811622152406,2,-0.035061071859672666,15.821236729621887,166.64389395713806
nan,nan,79872,0.07488994096529496,0.3343261778354645,0.30205076932907104,0.24599608778953552,0.2197265625,0.18330077826976776,0.169921875,0.16396483778953552,0.16196289658546448,0.22265625,0.025244737893808634,0.3298340683802962,10.0,68.79775984287262,39,0.00027663934426229507,1000.0,-508.295294125402,2,-0.03322973862814251,17.30101585537195,169.919203042984
nan,nan,81920,0.11599139618629124,0.4482421875,0.39453125,0.3509277403354645,0.29853516817092896,0.2647949159145355,0.24272461235523224,0.23691406846046448,0.2537597715854645,0.3113037109375,0.025908563571283592,0.40293272589333357,10.0,69.1006762266159,40,0.0002760245901639344,1000.0,-458.2895332453429,2,-0.024291988962795587,11.70452614426613,173.26049184799194
-519.9938473553082,19.373934314304176,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.54518699645996
nan,nan,83968,0.07040834608305886,0.34858399629592896,0.302001953125,0.2527832090854645,0.20698241889476776,0.18930664658546448,0.15981444716453552,0.13999024033546448,0.15019531548023224,0.218707275390625,0.024483744992176072,0.37637504367157815,10.0,68.61861631870269,41,0.00027540983606557377,1000.0,-522.3648034284837,2,-0.034143994850455786,13.665708436071872,183.0034680366516
nan,nan,86016,0.04455413660944032,0.23017577826976776,0.19770507514476776,0.15629883110523224,0.14047852158546448,0.12148437649011612,0.10400390625,0.10673828423023224,0.10581054538488388,0.1453369140625,0.022344058752059935,0.2742754784412682,10.0,68.41974895000457,42,0.0002747950819672131,1000.0,-457.64116984120193,3,-0.03160318252193974,26.940946155786513,186.32906794548035
