eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,67584,0.08427554396766937,0.22133788466453552,0.236083984375,0.25043946504592896,0.2627929747104645,0.24266357421875,0.005720209952414734,0.029817925329552963,10.0,34.36762796640396,33,0.00028032786885245903,1000.0,-147.7128630523635,2,-0.0667249032615473,9.476335237920285,88.2783317565918
nan,nan,69632,0.10806751516429358,0.285400390625,0.283203125,0.29833984375,0.3128418028354645,0.2949462890625,0.0063925745969754645,0.03196009362000041,10.0,34.582264149188994,34,0.0002797131147540983,1000.0,-147.4422479217882,2,-0.07047300119593274,7.587012469768524,90.4058268070221
nan,nan,71680,0.09578150492379792,0.2525878846645355,0.2671875059604645,0.2787109315395355,0.2894531190395355,0.27198486328125,0.00681454851583112,0.03600421156734228,10.0,34.46983057260513,35,0.00027909836065573767,1000.0,-116.69590246057919,2,-0.06749524576334806,8.152134490013122,92.52313494682312
113.72368427270403,64.09587416075932,71680,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,96.05088090896606
nan,nan,73728,0.08698110915647703,0.230712890625,0.25507813692092896,0.2608398497104645,0.27714842557907104,0.25594482421875,0.006676540718763136,0.03467439574305899,10.0,34.34736431837082,36,0.000278483606557377,1000.0,-110.80613148388389,2,-0.06808578799500538,9.01087749749422,98.11158609390259
nan,nan,75776,0.07880900622112677,0.20708008110523224,0.21699218451976776,0.22499999403953552,0.24033203721046448,0.22235107421875,0.00562050705193542,0.03620813527959399,10.0,34.32112064361572,37,0.00027786885245901637,1000.0,-131.6091124619022,2,-0.06724939839941727,26.41086764931679,100.23670887947083
nan,nan,77824,0.06916441639550612,0.18745116889476776,0.206787109375,0.23281249403953552,0.22670897841453552,0.21343994140625,0.005144745911820792,0.026730570156360045,10.0,34.40412658452988,38,0.0002772540983606557,1000.0,-307.264132687336,2,-0.07167045055211929,14.220183935761451,102.38583183288574
nan,nan,79872,0.09855383549293037,0.26274412870407104,0.272705078125,0.28105467557907104,0.3018554747104645,0.27958984375,0.005209812083194265,0.02643303999793716,10.0,34.41723299026489,39,0.00027663934426229507,1000.0,-107.57410072994463,2,-0.06580136587008382,8.408409540355205,104.48957180976868
nan,nan,81920,0.11407853517011972,0.2674804627895355,0.2982421815395355,0.31884765625,0.3397460877895355,0.3060791015625,0.006067151641764213,0.030175831710221247,10.0,34.50730227231979,40,0.0002760245901639344,1000.0,-51.40323931309606,2,-0.06659886852266936,8.577197086811065,106.49729084968567
208.2135352103074,69.33509725760588,81920,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,109.97698307037354
nan,nan,83968,0.10166625364436185,0.24960938096046448,0.28369140625,0.2947753965854645,0.3055175840854645,0.2833984375,0.006353965254675131,0.03201936496770941,10.0,34.449972820281985,41,0.00027540983606557377,1000.0,-60.43227116355434,2,-0.06925689854560915,8.696515807509423,112.11119794845581
nan,nan,86016,0.09059926056870608,0.23193359375,0.2511230409145355,0.2724609375,0.2765136659145355,0.2580078125,0.005866459639219101,0.030563118297141045,10.0,34.357795810699464,42,0.0002747950819672131,1000.0,-24.573308060663948,3,-0.06333826934142053,10.035497802495957,114.24292778968811
