eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_frac_step_4,train/clip_frac_step_5,train/clip_frac_step_6,train/clip_frac_step_7,train/clip_fraction,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,110592,0.08034850813455705,0.193115234375,0.19194336235523224,0.20659179985523224,0.24150390923023224,0.2677246034145355,0.27485352754592896,0.2628417909145355,0.2638183534145355,0.237799072265625,68.92920198440552,54,0.00026741803278688525,1000.0,-155.33863139996416,2,-0.04645952285209205,9.9473603323102,326.2392237186432
-93.18524004965376,72.68727854119619,110592,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,335.51350498199463
nan,nan,112640,0.07905682654018165,0.19233398139476776,0.18632812798023224,0.21005859971046448,0.23828125,0.2542968690395355,0.2557128965854645,0.2635253965854645,0.265625,0.233270263671875,68.89047069549561,55,0.0002668032786885246,1000.0,-195.52653337711305,2,-0.04625729396939278,11.318717928230763,340.32162284851074
nan,nan,114688,0.08352801798573636,0.19326171278953552,0.19355468451976776,0.216796875,0.24204102158546448,0.26469725370407104,0.27900391817092896,0.27534180879592896,0.2645507752895355,0.241156005859375,68.75270204544067,56,0.0002661885245901639,1000.0,-196.4787891701411,2,-0.044137279331334864,9.540373495221138,347.13064670562744
nan,nan,116736,0.08466822817790672,0.202392578125,0.19477538764476776,0.20830078423023224,0.23281249403953552,0.2718749940395355,0.27392578125,0.26542967557907104,0.27153319120407104,0.240130615234375,68.7294349193573,57,0.00026557377049180324,1000.0,-216.5126123099435,2,-0.04634458926739171,9.335220289230346,352.3942427635193
nan,nan,118784,0.08715833143505733,0.20234374701976776,0.20493164658546448,0.23037108778953552,0.2520507872104645,0.27641600370407104,0.2882324159145355,0.2771972715854645,0.27934569120407104,0.251361083984375,68.83583455085754,58,0.0002649590163934426,1000.0,-188.52550015934452,2,-0.046126710054522846,8.029035866260529,357.80455684661865
nan,nan,120832,0.08936585660812853,0.20981445908546448,0.20541992783546448,0.23344726860523224,0.25859373807907104,0.27851563692092896,0.2857421934604645,0.27836912870407104,0.2791503965854645,0.253631591796875,68.97805328369141,59,0.00026434426229508194,1000.0,-167.6442609113435,2,-0.04511851859861053,8.33377497792244,363.25861501693726
-27.707336212755497,95.40657686282498,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,379.85259199142456
nan,nan,122880,0.0764552411987097,0.16777344048023224,0.17900390923023224,0.19926758110523224,0.23159179091453552,0.25751954317092896,0.25712889432907104,0.25590819120407104,0.25043946504592896,0.2248291015625,68.75277948379517,60,0.0002637295081967213,1000.0,-125.69758102036639,2,-0.04560521097155288,9.15260314643383,386.71690487861633
nan,nan,124928,0.07107342713788967,0.16826172173023224,0.17270508408546448,0.1923828125,0.21293945610523224,0.23813477158546448,0.24843749403953552,0.23051758110523224,0.23090820014476776,0.211785888671875,68.75496180057526,61,0.00026311475409836063,1000.0,-115.45361558847108,2,-0.043477047537453475,10.598931922018528,396.2845458984375
nan,nan,126976,0.07214863396948204,0.17666015028953552,0.16684570908546448,0.19526366889476776,0.22622069716453552,0.24140624701976776,0.24853515625,0.24750976264476776,0.248291015625,0.218841552734375,68.76368963718414,62,0.0002625,1000.0,-86.71440946973425,2,-0.03937485503265634,12.60286367982626,405.96070408821106
