eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,114688,18.503573634382338,0.040283203125,0.06967773288488388,0.21650390326976776,0.991943359375,0.32960205078125,31.64748387336731,428.4556100845337,132.620207631588,56,0.0002661885245901639,1000.0,-599.8541096869628,2,-12.394131073355675,12.404947161022573,159.78263187408447
nan,nan,116736,18.209628110565244,0.02412109449505806,0.07407226413488388,0.23554687201976776,0.9876953363418579,0.33035888671875,31.42060821056366,412.5811755657196,112.91185557842255,57,0.00026557377049180324,1000.0,-601.194966347751,2,-12.039461809396744,12.372795070149005,162.08184790611267
nan,nan,118784,18.363107650959865,0.03559570387005806,0.06914062798023224,0.24223633110523224,0.9898926019668579,0.33421630859375,31.384658521413805,422.42054119110105,132.4109661579132,58,0.0002649590163934426,1000.0,-596.6049204257142,2,-12.522637239098549,12.388949793763459,164.35887384414673
nan,nan,120832,18.479899877309798,0.04848632961511612,0.08798827975988388,0.2596191465854645,0.985888659954071,0.34549560546875,31.532925420999526,417.32472376823426,170.19047216176986,59,0.00026434426229508194,1000.0,-597.4179241306281,2,-12.62715611755848,12.387325906194746,166.6175558567047
-597.5119079732791,4.388799918094714,120832,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,170.21785593032837
nan,nan,122880,18.33223815402016,0.05747070163488388,0.10786132514476776,0.23544922471046448,0.990234375,0.34775390625,31.3914027094841,422.2041009902954,131.20439771413803,60,0.0002637295081967213,1000.0,-598.674801397682,2,-12.884990367293359,12.335525023471565,172.35769295692444
nan,nan,124928,17.837088473513724,0.06064452975988388,0.09624023735523224,0.23027344048023224,0.979785144329071,0.34173583984375,30.96894116997719,420.1452835559845,120.75254111289978,61,0.00026311475409836063,1000.0,-598.2297547553354,2,-11.381030969321728,12.328771000821144,174.50244402885437
nan,nan,126976,18.353225472586928,0.08837890625,0.11210937798023224,0.2542480528354645,0.988330066204071,0.3607666015625,31.344923198223114,419.6681620597839,130.22518429756164,62,0.0002625,1000.0,-602.3485117305063,2,-12.93607622385025,12.419322033133358,176.81040477752686
nan,nan,129024,18.6117761708796,0.10708007961511612,0.15385742485523224,0.25981444120407104,0.994824230670929,0.37889404296875,31.72268154025078,366.0467298030853,134.24682269096374,63,0.00026188524590163933,1000.0,-599.8776240531249,3,-13.598600432276726,18.106237277202307,179.129784822464
nan,nan,131072,18.38975422006333,0.10507812350988388,0.16025391221046448,0.26582032442092896,0.986621081829071,0.379443359375,31.22969596982002,404.48852162361146,124.35420162677765,64,0.0002612704918032787,1000.0,-600.5035580188719,2,-12.757618016004562,12.292630773875862,181.41333508491516
-597.9844305897175,3.8143914578475,131072,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,185.03308391571045
nan,nan,133120,17.979955009999685,0.08828125149011612,0.15771484375,0.25664061307907104,0.977490246295929,0.37003173828125,31.081478917598723,419.80737872123717,126.16719248294831,65,0.000260655737704918,1000.0,-597.0610850432299,2,-12.060588048398495,12.313052837084978,187.13873887062073
