eval/mean_return,eval/std_return,step,train/approx_kl,train/clip_frac_step_0,train/clip_frac_step_1,train/clip_frac_step_2,train/clip_frac_step_3,train/clip_fraction,train/delta_magnitude,train/delta_ratio,train/effective_delta_reg,train/entropy,train/iteration,train/lr,train/mean_episode_length,train/mean_reward,train/num_episodes,train/policy_loss,train/value_loss,wall_time
nan,nan,153600,0.028497055690968408,0.08330078423023224,0.0732421875,0.07802734524011612,0.09902343899011612,0.0833984375,0.0034983317622391042,0.024768917777691968,10.0,17.025248873233796,75,0.00025450819672131146,233.5,697.8086140589294,8,-0.020970218951151764,87.3036229789257,166.7721462249756
nan,nan,155648,0.032720398956007556,0.09282226860523224,0.07802734524011612,0.09467773139476776,0.11635742336511612,0.09547119140625,0.00442135072662495,0.040310795902041716,10.0,17.16983879208565,76,0.0002538934426229508,300.57142857142856,818.1547839216402,7,-0.019364273468636384,221.0755734503269,168.93396091461182
nan,nan,157696,0.04765225022783852,0.14150390028953552,0.12846679985523224,0.13901367783546448,0.15566405653953552,0.141162109375,0.00427775663920329,0.026477651504683307,10.0,17.203829234838487,77,0.0002532786885245901,302.7142857142857,879.350394427387,7,-0.025109255302686505,28.40345366001129,171.09404802322388
nan,nan,159744,0.03016426476315246,0.09931640326976776,0.07768554985523224,0.08222655951976776,0.09746094048023224,0.08917236328125,0.003930113412206992,0.02727728864119854,10.0,17.142958682775497,78,0.00025266393442622946,214.2,630.4892432274457,10,-0.018781901340662443,123.37454602122307,174.38274812698364
nan,nan,161792,0.047719382599461825,0.13271483778953552,0.099853515625,0.10322265326976776,0.12290038913488388,0.1146728515625,0.003915361074177781,0.030423076648730785,10.0,17.17366353869438,79,0.0002520491803278688,213.66666666666666,626.7358542956218,9,-0.020593977805037866,51.47013703584671,176.88671684265137
1407.8097958010635,660.6740703710126,161792,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,179.34715390205383
nan,nan,163840,0.037914248585730094,0.11362304538488388,0.10151366889476776,0.10849609225988388,0.13818359375,0.1154541015625,0.004196621383016463,0.03157865864341147,10.0,17.11614860892296,80,0.00025143442622950816,349.0,1030.3872664760768,6,-0.020624900538132353,70.10283214151859,181.56635689735413
nan,nan,165888,0.035833209090924356,0.114501953125,0.094970703125,0.09589843451976776,0.10043945163488388,0.10145263671875,0.0038350642760633493,0.0261635861301329,10.0,17.18661013841629,81,0.00025081967213114756,278.0,635.5555253485519,7,-0.020450291412635123,255.16185748577118,183.81446194648743
nan,nan,167936,0.028303657000651582,0.07465820014476776,0.07182617485523224,0.08212890475988388,0.10009765625,0.082177734375,0.003804331146966433,0.028543300495948644,10.0,17.065955877304077,82,0.0002502049180327869,296.85714285714283,794.3761601715694,7,-0.01993099743122002,124.60671609640121,185.92049503326416
nan,nan,169984,0.02445775366941234,0.07895507663488388,0.06601562350988388,0.06352539360523224,0.08354492485523224,0.07301025390625,0.0036992160508816595,0.02518765610002447,10.0,17.05755695104599,83,0.0002495901639344262,251.71428571428572,617.0636484551039,7,-0.01991731917914876,181.47605444192885,188.08285212516785
